,begin_min,begin_max,begin_ptp,end_min,end_max,end_ptp
measuredForce0,-1093.602099609375,1049.9181030273437,2143.5202026367188,-1151.209765625,874.7375366210938,2025.9473022460938
measuredForce1,-1128.99892578125,992.6697143554687,2121.6686401367188,-658.1134521484375,1044.1024780273438,1702.2159301757813
measuredForce2,-493.612939453125,870.5289184570313,1364.1418579101564,-872.009423828125,596.5593994140625,1468.5688232421876
measuredForce3,-723.87138671875,1264.6575927734375,1988.5289794921875,-949.2147827148438,769.5715209960938,1718.7863037109375
measuredForce4,-1414.0400146484376,1134.4335205078125,2548.4735351562504,-1108.4141845703125,1514.1561767578125,2622.570361328125
measuredForce5,-1090.5153076171875,1218.431201171875,2308.9465087890626,-1251.1170166015625,848.6361572265625,2099.753173828125
